model effect group term estimate std.error statistic df p.value d CI CI_low CI_high ROI plotrois hemi label pCol pInd pIndFDR FDRind
40 fixed NA convgroup 0.493829424021843 0.0160577290178044 30.7533788541517 993.211334751696 1.90061321280686e-146 1.3033550095812 0.95 1.21177403313135 1.3946919339605 CTX_RH_FRONTALPOLE_SUVR rh_frontalpole right rh_frontalpole #aad6e7 1 2 1
41 fixed NA convgroup 0.321817808838925 0.0123923800689154 25.9690073294445 1031.94371430406 8.01065137532092e-115 1.10058917289061 0.95 1.0113497452628 1.18961229773193 CTX_RH_FUSIFORM_SUVR rh_fusiform right rh_fusiform #aad6e7 1 2 1
42 fixed NA convgroup 0.467222556396371 0.0144271448426443 32.38496330995 1031.53527803193 2.6103712220301e-159 1.37250298138959 0.95 1.2800495728993 1.46470391016125 CTX_RH_INFERIORPARIETAL_SUVR rh_inferiorparietal right rh_inferiorparietal #aad6e7 1 2 1
43 fixed NA convgroup 0.412448145169998 0.0144599038975073 28.5235744368327 1024.65859932273 3.39218323325479e-132 1.20885395421809 0.95 1.11840536366572 1.2990708663914 CTX_RH_INFERIORTEMPORAL_SUVR rh_inferiortemporal right rh_inferiortemporal #aad6e7 1 2 1
44 fixed NA convgroup 0.32473006164581 0.0117627618717767 27.6066169821019 1026.3287388422 6.45760560086363e-126 1.16999249779523 0.95 1.07998894429844 1.25976973664827 CTX_RH_INSULA_SUVR rh_insula right rh_insula #aad6e7 1 2 1
45 fixed NA convgroup 0.399467145116983 0.0126156418687969 31.664432874003 998.968325232922 6.2250843974002e-153 1.34196627328669 0.95 1.24990262855348 1.43378108038642 CTX_RH_ISTHMUSCINGULATE_SUVR rh_isthmuscingulate right rh_isthmuscingulate #aad6e7 1 2 1
46 fixed NA convgroup 0.302736373705438 0.014376940937487 21.0570784857348 1058.02685991918 1.7353363176563e-82 0.892417345804004 0.95 0.80522469695742 0.979426828664131 CTX_RH_LATERALOCCIPITAL_SUVR rh_lateraloccipital right rh_lateraloccipital #aad6e7 1 2 1
47 fixed NA convgroup 0.408143154593023 0.0129539335492134 31.5072756118782 999.864874332135 6.86212148427693e-152 1.33530581149308 0.95 1.24332623608087 1.42703735957431 CTX_RH_LATERALORBITOFRONTAL_SUVR rh_lateralorbitofrontal right rh_lateralorbitofrontal #aad6e7 1 2 1
48 fixed NA convgroup 0.218344124016107 0.0118399028271334 18.4413780420334 1072.53419672103 3.545299601559e-66 0.781561680381674 0.95 0.695302321555193 0.867657361609495 CTX_RH_LINGUAL_SUVR rh_lingual right rh_lingual #aad6e7 1 2 1
49 fixed NA convgroup 0.483560960203951 0.0148915034056619 32.4722727471624 1018.46123927818 2.38443243233135e-159 1.37620323146339 0.95 1.28370211635277 1.46845141673409 CTX_RH_MEDIALORBITOFRONTAL_SUVR rh_medialorbitofrontal right rh_medialorbitofrontal #aad6e7 1 2 1
50 fixed NA convgroup 0.422678818796678 0.0139814624706944 30.2313738410861 1029.26459117646 3.35140018122529e-144 1.2812319819935 0.95 1.18992237611236 1.37230033314994 CTX_RH_MIDDLETEMPORAL_SUVR rh_middletemporal right rh_middletemporal #aad6e7 1 2 1
51 fixed NA convgroup 0.327429550582262 0.0133332222875373 24.5574208185453 1021.11228219424 5.05583394831187e-105 1.04076490580234 0.95 0.952151889613857 1.12917065801242 CTX_RH_PARACENTRAL_SUVR rh_paracentral right rh_paracentral #aad6e7 1 2 1
52 fixed NA convgroup 0.217936655700403 0.00908421522534356 23.9906970821644 1001.3302446056 7.5386847887208e-101 1.01674665973046 0.95 0.92837659830226 1.10491321177437 CTX_RH_PARAHIPPOCAMPAL_SUVR rh_parahippocampal right rh_parahippocampal #aad6e7 1 2 1
53 fixed NA convgroup 0.411695011725759 0.0132785246479395 31.0045748787041 1027.4324102219 1.62006318657111e-149 1.3140009161185 0.95 1.222287997007 1.40546840448865 CTX_RH_PARSOPERCULARIS_SUVR rh_parsopercularis right rh_parsopercularis #aad6e7 1 2 1
