rois,term,estimate,std.error,statistic,p.value,term.1,d,CI,CI_low,CI_high,yearsBeforeAB,analysis,desctext,othertext,typetext,src,pInd,pIndFDR,FDRind,pCol,roi,sigdirection
lh_precentral_thickness.aparcnative71,convgroup,0.0400021310424878,0.0169915736712775,2.35423344631741,0.0196513111093962,convgroup,0.352914514261767,0.95,0.056340300545986,0.648512500840924,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_precentral,positive_sigonly
lh_precuneus_thickness.aparcnative71,convgroup,0.0332459339827263,0.0149095356538206,2.22984368894191,0.0270080046547265,convgroup,0.334267701273879,0.95,0.037951837840291,0.629657535651137,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_precuneus,positive_sigonly
lh_rostralanteriorcingulate_thickness.aparcnative71,convgroup,0.0496930833417726,0.0253967895226861,1.95666792046228,0.0519508662721664,convgroup,0.293316922245623,0.95,-0.00247505697815865,0.588293868456524,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_rostralanteriorcingulate,NA
lh_rostralmiddlefrontal_thickness.aparcnative71,convgroup,0.0466465852103205,0.0133186047969851,3.50236274154481,0.000583071924248466,convgroup,0.525026372229252,0.95,0.22548979091621,0.823135810140828,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,2,1,#aad6e7,lh_rostralmiddlefrontal,positive_fdrsig
lh_superiorfrontal_thickness.aparcnative71,convgroup,0.0528738700890198,0.014846761756152,3.56130656350774,0.000473491340301263,convgroup,0.5338624247156,0.95,0.234145956391534,0.832129269933232,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,2,1,#aad6e7,lh_superiorfrontal,positive_fdrsig
lh_superiorparietal_thickness.aparcnative71,convgroup,0.01919586585463,0.0156325687005673,1.22794060415249,0.221090544239551,convgroup,0.184076079003403,0.95,-0.110612948676919,0.478250466088045,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_superiorparietal,NA
lh_superiortemporal_thickness.aparcnative71,convgroup,0.0410574398707669,0.0177417611120059,2.31416935509199,0.0218005398623695,convgroup,0.346908653068913,0.95,0.0504189957729002,0.642438220427593,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_superiortemporal,positive_sigonly
lh_supramarginal_thickness.aparcnative71,convgroup,0.0303775041504073,0.0153484725009709,1.97918744998799,0.0493368730155949,convgroup,0.296692742445782,0.95,0.000859846013899903,0.591701431321437,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,lh_supramarginal,positive_sigonly
lh_frontalpole_thickness.aparcnative71,convgroup,0.0814849775410309,0.0270261671655568,3.01504009213998,0.00294507402925106,convgroup,0.451973618530384,0.95,0.153820880407962,0.748887664529378,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,2,1,#aad6e7,lh_frontalpole,positive_fdrsig
lh_temporalpole_thickness.aparcnative71,convgroup,0.0612493912372403,0.038825043252455,1.5775743207541,0.116438955263348,convgroup,0.236488389030264,0.95,-0.0586761193011001,0.530993454539253,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_temporalpole,NA
