ROI SUVR plotrois hemi label SUVR_above_reference predictedYearsBeforepredAB
CTX_RH_INFERIORTEMPORAL_SUVR 1.03656453361171 rh_inferiortemporal right rh_inferiortemporal 1.03656453361171 2
CTX_RH_INSULA_SUVR 1.02240205167422 rh_insula right rh_insula 1.02240205167422 2
CTX_RH_ISTHMUSCINGULATE_SUVR 1.16151442495218 rh_isthmuscingulate right rh_isthmuscingulate 1.16151442495218 2
CTX_RH_LATERALOCCIPITAL_SUVR 1.07148937586905 rh_lateraloccipital right rh_lateraloccipital 1.07148937586905 2
CTX_RH_LATERALORBITOFRONTAL_SUVR 1.11767073172934 rh_lateralorbitofrontal right rh_lateralorbitofrontal 1.11767073172934 2
CTX_RH_LINGUAL_SUVR 1.01258213141823 rh_lingual right rh_lingual 1.01258213141823 2
CTX_RH_MEDIALORBITOFRONTAL_SUVR 1.05305352445689 rh_medialorbitofrontal right rh_medialorbitofrontal 1.05305352445689 2
CTX_RH_MIDDLETEMPORAL_SUVR 1.01546562191648 rh_middletemporal right rh_middletemporal 1.01546562191648 2
CTX_RH_PARACENTRAL_SUVR 1.10549055780071 rh_paracentral right rh_paracentral 1.10549055780071 2
CTX_RH_PARAHIPPOCAMPAL_SUVR 0.963908187926914 rh_parahippocampal right rh_parahippocampal NA 2
CTX_RH_PARSOPERCULARIS_SUVR 1.09663846768787 rh_parsopercularis right rh_parsopercularis 1.09663846768787 2
CTX_RH_PARSORBITALIS_SUVR 1.05273535197618 rh_parsorbitalis right rh_parsorbitalis 1.05273535197618 2
CTX_RH_PARSTRIANGULARIS_SUVR 1.09106253568174 rh_parstriangularis right rh_parstriangularis 1.09106253568174 2
CTX_RH_PERICALCARINE_SUVR 1.17242154345746 rh_pericalcarine right rh_pericalcarine 1.17242154345746 2
CTX_RH_POSTCENTRAL_SUVR 1.0080836874215 rh_postcentral right rh_postcentral 1.0080836874215 2
CTX_RH_POSTERIORCINGULATE_SUVR 1.15211573620598 rh_posteriorcingulate right rh_posteriorcingulate 1.15211573620598 2
CTX_RH_PRECENTRAL_SUVR 1.07886006701506 rh_precentral right rh_precentral 1.07886006701506 2
CTX_RH_PRECUNEUS_SUVR 1.13337343024522 rh_precuneus right rh_precuneus 1.13337343024522 2
CTX_RH_ROSTRALANTERIORCINGULATE_SUVR 1.11319623190698 rh_rostralanteriorcingulate right rh_rostralanteriorcingulate 1.11319623190698 2
CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR 1.0764496434683 rh_rostralmiddlefrontal right rh_rostralmiddlefrontal 1.0764496434683 2
CTX_RH_SUPERIORFRONTAL_SUVR 1.0298055593217 rh_superiorfrontal right rh_superiorfrontal 1.0298055593217 2
CTX_RH_SUPERIORPARIETAL_SUVR 1.03302987336847 rh_superiorparietal right rh_superiorparietal 1.03302987336847 2
CTX_RH_SUPERIORTEMPORAL_SUVR 0.986056289772813 rh_superiortemporal right rh_superiortemporal NA 2
